alpha0,alpha1,beta0,beta1,gamma0,gamma1
7.869919,3.012319,-13.749999,0.096336,-40.329994,0.200884
7.279603,3.016725,-13.391122,0.093709,-41.414520,0.207327
9.413699,3.009212,-15.912683,0.104818,-37.851006,0.182903
7.730356,3.015439,-20.820469,0.132749,-40.778950,0.206316
10.267772,2.999430,-9.624819,0.064965,-39.646038,0.201618
9.005531,3.008267,-12.821357,0.080402,-41.589756,0.207813
9.172345,3.005631,-16.332918,0.110798,-40.217381,0.200282
11.242981,2.990109,-12.876580,0.083990,-41.241970,0.206035
9.165689,3.001219,-17.503651,0.117181,-40.866142,0.200041
8.139027,3.012985,-15.515399,0.103206,-39.289181,0.201542
8.610534,3.011806,-14.673228,0.100286,-38.930473,0.193060
7.108533,3.018935,-15.131759,0.103325,-40.068356,0.201133
8.309004,3.014237,-15.457789,0.100374,-40.323753,0.204841
10.284003,2.997880,-15.803892,0.105375,-40.203873,0.206359
7.745424,3.016886,-15.806205,0.105610,-44.408562,0.223240
10.005932,3.003374,-13.206089,0.091062,-44.674889,0.233090
11.243094,2.991577,-12.596292,0.081691,-42.818478,0.218690
9.669201,2.999279,-17.511902,0.113003,-41.170982,0.208688
11.114861,2.991322,-19.111053,0.122060,-41.098156,0.206607
8.013224,3.015537,-13.025493,0.084589,-39.969032,0.197112
7.562199,3.008405,-13.472113,0.092814,-36.978222,0.184775
13.420828,2.978507,-22.247782,0.141859,-48.487888,0.248791
8.946697,3.005848,-16.914473,0.113503,-40.761154,0.203349
9.535833,3.003415,-15.086517,0.100014,-39.487518,0.199602
10.665528,2.998861,-14.187113,0.094225,-43.316517,0.223024
12.876795,2.985884,-14.631773,0.100417,-40.073547,0.200834
12.037989,2.988179,-14.932696,0.104419,-40.641575,0.206023
11.689064,2.990036,-17.398167,0.112751,-39.720566,0.202805
11.367005,2.991606,-15.584849,0.101719,-38.941219,0.194045
9.440547,3.003777,-10.808399,0.071028,-41.700394,0.203947
,,,,,
9.631107,3.002889,-15.204553,0.100943,-40.900003,0.205826
2.897298,0.000121,6.868549,0.000262,5.448784,0.000199
